Número de secuencias;Método;Tiempo de ejecución (segundos)
500;CNN(5);9.9
1000;CNN(5);17.4
2000;CNN(5);31.9
5000;CNN(5);78
10000;CNN(5);148
20000;CNN(5);296
500;CNN(10);10
1000;CNN(10);17.7
2000;CNN(10);33.3
5000;CNN(10);75
10000;CNN(10);155
20000;CNN(10);311
500;CNN(16);10.3
1000;CNN(16);18.1
2000;CNN(16);35.4
5000;CNN(16);81
10000;CNN(16);169
20000;CNN(16);333
500;STREME(5);22
1000;STREME(5);54.3
2000;STREME(5);106.5
5000;STREME(5);279.9
10000;STREME(5);259
20000;STREME(5);260.9
500;STREME(10);46.2
1000;STREME(10);112.2
2000;STREME(10);224.4
5000;STREME(10);570.4
10000;STREME(10);521.2
20000;STREME(10);591
500;ProSampler(5);5.8
1000;ProSampler(5);12.6
2000;ProSampler(5);25.9
5000;ProSampler(5);69.7
10000;ProSampler(5);170.9
20000;ProSampler(5);352.6
500;ProSampler(10);5.7
1000;ProSampler(10);12.8
2000;ProSampler(10);26.4
5000;ProSampler(10);69.7
10000;ProSampler(10);176.5
20000;ProSampler(10);362.7
500;DiNAMO;25.1
1000;DiNAMO;25
2000;DiNAMO;80.5
5000;DiNAMO;272.7
10000;DiNAMO;829.6
20000;DiNAMO;2647.1
500;WSMD(5);44.4
1000;WSMD(5);235.8
2000;WSMD(5);338.6
5000;WSMD(5);937.8
10000;WSMD(5);2232.4
20000;WSMD(5);
500;WSMD(10);76.8
1000;WSMD(10);319.5
2000;WSMD(10);806.3
5000;WSMD(10);2224.1
10000;WSMD(10);4806
20000;WSMD(10);
